feature_2,feature_3,feature_5,feature_7,feature_10,feature_13,feature_14,target,feature_1_1,feature_4_2,feature_4_3,feature_6_2,feature_6_3,feature_6_4,feature_6_5,feature_6_7,feature_6_8,feature_6_9,feature_8_1,feature_9_1,feature_11_1,feature_12_2,feature_12_3
22.08,11.46,4,1.585,0,100,1213,0,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False
22.67,7.0,8,0.165,0,160,1,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
29.58,1.75,4,1.25,0,280,1,0,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
21.67,11.5,5,0.0,11,0,1,1,False,False,False,False,True,False,False,False,False,False,True,True,True,True,False
20.17,8.17,6,1.96,14,60,159,1,True,True,False,False,False,True,False,False,False,False,True,True,False,True,False
15.83,0.585,8,1.5,2,100,1,1,False,True,False,False,False,False,False,False,True,False,True,True,False,True,False
17.42,6.5,3,0.125,0,60,101,0,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
58.67,4.46,11,3.04,6,43,561,1,False,True,False,False,False,False,False,False,True,False,True,True,False,True,False
27.83,1.0,2,3.0,0,176,538,0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
55.75,7.08,4,6.75,3,100,51,0,False,True,False,False,False,False,False,False,True,False,True,True,True,True,False
33.5,1.75,14,4.5,4,253,858,1,True,True,False,False,False,False,False,False,True,False,True,True,True,True,False
41.42,5.0,11,5.0,6,470,1,1,True,True,False,False,False,False,False,False,True,False,True,True,True,True,False
20.67,1.25,8,1.375,3,140,211,0,True,False,False,False,False,False,False,False,True,False,True,True,True,True,False
34.92,5.0,14,7.5,6,0,1001,1,True,True,False,False,False,False,False,False,True,False,True,True,True,True,False
58.58,2.71,8,2.415,0,320,1,0,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False
48.08,6.04,4,0.04,0,0,2691,1,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
29.58,4.5,9,7.5,2,330,1,1,True,True,False,False,False,True,False,False,False,False,True,True,True,True,False
18.92,9.0,6,0.75,2,88,592,1,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False
20.0,1.25,4,0.125,0,140,5,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
22.42,5.665,11,2.585,7,129,3258,1,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False
28.17,0.585,6,0.04,0,260,1005,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
19.17,0.585,6,0.585,0,160,1,0,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False
41.17,1.335,2,0.165,0,168,1,0,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
41.58,1.75,4,0.21,0,160,1,0,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False
19.5,9.585,6,0.79,0,80,351,0,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
32.75,1.5,13,5.5,3,0,1,1,True,True,False,False,False,False,False,False,True,False,True,True,True,True,False
22.5,0.125,4,0.125,0,200,71,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
33.17,3.04,8,2.04,1,180,18028,1,True,False,False,False,False,False,False,False,True,False,True,True,True,True,False
30.67,12.0,8,2.0,1,220,20,1,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False
23.08,2.5,8,1.085,11,60,2185,1,True,True,False,False,False,True,False,False,False,False,True,True,True,True,False
